FREQ	Frequency	REF_AREA	Territory	DATA_TYPE	Indicator	MEASURE	Measure (DESC)	TIME_PERIOD	Observation	OBS_STATUS	Observation status
A	Annual	IT	Italy	0_CHRONIC_NERVOUS	Chronic patients - suffering from nervous disorders	HSC	Per 100 people with the same characteristics	2023	4.7		
A	Annual	IT	Italy	0_CHRONIC_GASTR	Chronic patients - suffering from gastric or duodenal ulcer	THV	Thousands value	2022	1226		
A	Annual	IT	Italy	0_CHRONIC_GASTR	Chronic patients - suffering from gastric or duodenal ulcer	THV	Thousands value	2023	1155		
A	Annual	IT	Italy	0_CHRONIC_GASTR	Chronic patients - suffering from gastric or duodenal ulcer	HSC	Per 100 people with the same characteristics	2022	2.1		
A	Annual	IT	Italy	0_CHRONIC_GASTR	Chronic patients - suffering from gastric or duodenal ulcer	HSC	Per 100 people with the same characteristics	2023	2		
A	Annual	ITCD	Nord	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	THV	Thousands value	2022	19229		
A	Annual	ITCD	Nord	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	THV	Thousands value	2023	19053		
A	Annual	ITCD	Nord	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	HSC	Per 100 people with the same characteristics	2022	70.6		
A	Annual	ITCD	Nord	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	HSC	Per 100 people with the same characteristics	2023	70.2		
A	Annual	ITCD	Nord	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	THV	Thousands value	2022	11121		
A	Annual	ITCD	Nord	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	THV	Thousands value	2023	11029		
A	Annual	ITCD	Nord	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	HSC	Per 100 people with the same characteristics	2022	40.8		
A	Annual	ITCD	Nord	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	HSC	Per 100 people with the same characteristics	2023	40.6		
A	Annual	ITCD	Nord	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	THV	Thousands value	2022	5633		
A	Annual	ITCD	Nord	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	THV	Thousands value	2023	5368		
A	Annual	ITCD	Nord	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	HSC	Per 100 people with the same characteristics	2022	20.7		
A	Annual	ITCD	Nord	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	HSC	Per 100 people with the same characteristics	2023	19.8		
A	Annual	ITCD	Nord	0_CHRONIC_GH	Persons  with chronic diseases in good health	THV	Thousands value	2022	5213		
A	Annual	ITCD	Nord	0_CHRONIC_GH	Persons  with chronic diseases in good health	THV	Thousands value	2023	5091		
A	Annual	ITCD	Nord	0_CHRONIC_GH	Persons  with chronic diseases in good health	HSC	Per 100 people with the same characteristics	2022	46.9		
A	Annual	ITCD	Nord	0_CHRONIC_GH	Persons  with chronic diseases in good health	HSC	Per 100 people with the same characteristics	2023	46.2		
A	Annual	ITCD	Nord	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	THV	Thousands value	2022	1632		
A	Annual	ITCD	Nord	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	THV	Thousands value	2023	1562		
A	Annual	ITCD	Nord	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	HSC	Per 100 people with the same characteristics	2022	6		
A	Annual	ITCD	Nord	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	HSC	Per 100 people with the same characteristics	2023	5.8		
A	Annual	ITCD	Nord	0_CHRONIC_HYP	Chronic patients - with hypertension	THV	Thousands value	2022	4809		
A	Annual	ITCD	Nord	0_CHRONIC_HYP	Chronic patients - with hypertension	THV	Thousands value	2023	4999		
A	Annual	ITCD	Nord	0_CHRONIC_HYP	Chronic patients - with hypertension	HSC	Per 100 people with the same characteristics	2022	17.7		
A	Annual	ITCD	Nord	0_CHRONIC_HYP	Chronic patients - with hypertension	HSC	Per 100 people with the same characteristics	2023	18.4		
A	Annual	ITCD	Nord	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	THV	Thousands value	2022	1684		
A	Annual	ITCD	Nord	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	THV	Thousands value	2023	1593		
A	Annual	ITCD	Nord	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	HSC	Per 100 people with the same characteristics	2022	6.2		
A	Annual	ITCD	Nord	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	HSC	Per 100 people with the same characteristics	2023	5.9		
A	Annual	ITCD	Nord	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	THV	Thousands value	2022	3910		
A	Annual	ITCD	Nord	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	THV	Thousands value	2023	3737		
A	Annual	ITCD	Nord	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	HSC	Per 100 people with the same characteristics	2022	14.4		
A	Annual	ITCD	Nord	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	HSC	Per 100 people with the same characteristics	2023	13.8		
A	Annual	ITCD	Nord	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	THV	Thousands value	2022	1897		
A	Annual	ITCD	Nord	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	THV	Thousands value	2023	1827		
A	Annual	ITCD	Nord	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	HSC	Per 100 people with the same characteristics	2022	7		
A	Annual	ITCD	Nord	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	HSC	Per 100 people with the same characteristics	2023	6.7		
A	Annual	ITCD	Nord	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	THV	Thousands value	2022	1207		
A	Annual	ITCD	Nord	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	THV	Thousands value	2023	1152		
A	Annual	ITCD	Nord	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	HSC	Per 100 people with the same characteristics	2022	4.4		
A	Annual	ITCD	Nord	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	HSC	Per 100 people with the same characteristics	2023	4.2		
A	Annual	ITCD	Nord	0_CHRONIC_ALLER	Chronic patients - suffering from allergic diseases	THV	Thousands value	2022	3111		
A	Annual	ITCD	Nord	0_CHRONIC_ALLER	Chronic patients - suffering from allergic diseases	THV	Thousands value	2023	2874		
A	Annual	ITCD	Nord	0_CHRONIC_ALLER	Chronic patients - suffering from allergic diseases	HSC	Per 100 people with the same characteristics	2022	11.4		
A	Annual	ITCD	Nord	0_CHRONIC_ALLER	Chronic patients - suffering from allergic diseases	HSC	Per 100 people with the same characteristics	2023	10.6		
A	Annual	ITCD	Nord	0_CHRONIC_NERVOUS	Chronic patients - suffering from nervous disorders	THV	Thousands value	2022	1264		
A	Annual	ITCD	Nord	0_CHRONIC_NERVOUS	Chronic patients - suffering from nervous disorders	THV	Thousands value	2023	1162		
A	Annual	ITCD	Nord	0_CHRONIC_NERVOUS	Chronic patients - suffering from nervous disorders	HSC	Per 100 people with the same characteristics	2022	4.6		
A	Annual	ITCD	Nord	0_CHRONIC_NERVOUS	Chronic patients - suffering from nervous disorders	HSC	Per 100 people with the same characteristics	2023	4.3		
A	Annual	ITCD	Nord	0_CHRONIC_GASTR	Chronic patients - suffering from gastric or duodenal ulcer	THV	Thousands value	2022	522		
A	Annual	ITCD	Nord	0_CHRONIC_GASTR	Chronic patients - suffering from gastric or duodenal ulcer	THV	Thousands value	2023	530		
A	Annual	ITCD	Nord	0_CHRONIC_GASTR	Chronic patients - suffering from gastric or duodenal ulcer	HSC	Per 100 people with the same characteristics	2022	1.9		
A	Annual	ITCD	Nord	0_CHRONIC_GASTR	Chronic patients - suffering from gastric or duodenal ulcer	HSC	Per 100 people with the same characteristics	2023	2		
A	Annual	ITC	Nord-ovest	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	THV	Thousands value	2022	11105		
A	Annual	ITC	Nord-ovest	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	THV	Thousands value	2023	10919		
A	Annual	ITC	Nord-ovest	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	HSC	Per 100 people with the same characteristics	2022	70.5		
A	Annual	ITC	Nord-ovest	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	HSC	Per 100 people with the same characteristics	2023	69.5		
A	Annual	ITC	Nord-ovest	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	THV	Thousands value	2022	6485		
A	Annual	ITC	Nord-ovest	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	THV	Thousands value	2023	6444		
A	Annual	ITC	Nord-ovest	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	HSC	Per 100 people with the same characteristics	2022	41.2		
A	Annual	ITC	Nord-ovest	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	HSC	Per 100 people with the same characteristics	2023	41		
A	Annual	ITC	Nord-ovest	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	THV	Thousands value	2022	3291		
A	Annual	ITC	Nord-ovest	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	THV	Thousands value	2023	3150		
A	Annual	ITC	Nord-ovest	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	HSC	Per 100 people with the same characteristics	2022	20.9		
A	Annual	ITC	Nord-ovest	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	HSC	Per 100 people with the same characteristics	2023	20.1		
A	Annual	ITC	Nord-ovest	0_CHRONIC_GH	Persons  with chronic diseases in good health	THV	Thousands value	2022	3085		
A	Annual	ITC	Nord-ovest	0_CHRONIC_GH	Persons  with chronic diseases in good health	THV	Thousands value	2023	2905		
A	Annual	ITC	Nord-ovest	0_CHRONIC_GH	Persons  with chronic diseases in good health	HSC	Per 100 people with the same characteristics	2022	47.6		
A	Annual	ITC	Nord-ovest	0_CHRONIC_GH	Persons  with chronic diseases in good health	HSC	Per 100 people with the same characteristics	2023	45.1		
A	Annual	ITC	Nord-ovest	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	THV	Thousands value	2022	999		
A	Annual	ITC	Nord-ovest	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	THV	Thousands value	2023	939		
A	Annual	ITC	Nord-ovest	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	HSC	Per 100 people with the same characteristics	2022	6.3		
A	Annual	ITC	Nord-ovest	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	HSC	Per 100 people with the same characteristics	2023	6		
A	Annual	ITC	Nord-ovest	0_CHRONIC_HYP	Chronic patients - with hypertension	THV	Thousands value	2022	2842		
A	Annual	ITC	Nord-ovest	0_CHRONIC_HYP	Chronic patients - with hypertension	THV	Thousands value	2023	2935		
A	Annual	ITC	Nord-ovest	0_CHRONIC_HYP	Chronic patients - with hypertension	HSC	Per 100 people with the same characteristics	2022	18		
A	Annual	ITC	Nord-ovest	0_CHRONIC_HYP	Chronic patients - with hypertension	HSC	Per 100 people with the same characteristics	2023	18.7		
A	Annual	ITC	Nord-ovest	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	THV	Thousands value	2022	1017		
A	Annual	ITC	Nord-ovest	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	THV	Thousands value	2023	879		
A	Annual	ITC	Nord-ovest	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	HSC	Per 100 people with the same characteristics	2022	6.5		
A	Annual	ITC	Nord-ovest	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	HSC	Per 100 people with the same characteristics	2023	5.6		
A	Annual	ITC	Nord-ovest	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	THV	Thousands value	2022	2207		
A	Annual	ITC	Nord-ovest	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	THV	Thousands value	2023	2136		
A	Annual	ITC	Nord-ovest	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	HSC	Per 100 people with the same characteristics	2022	14		
A	Annual	ITC	Nord-ovest	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	HSC	Per 100 people with the same characteristics	2023	13.6		
A	Annual	ITC	Nord-ovest	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	THV	Thousands value	2022	1148		
A	Annual	ITC	Nord-ovest	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	THV	Thousands value	2023	1127		
A	Annual	ITC	Nord-ovest	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	HSC	Per 100 people with the same characteristics	2022	7.3		
A	Annual	ITC	Nord-ovest	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	HSC	Per 100 people with the same characteristics	2023	7.2		
A	Annual	ITC	Nord-ovest	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	THV	Thousands value	2022	705		
A	Annual	ITC	Nord-ovest	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	THV	Thousands value	2023	608		
A	Annual	ITC	Nord-ovest	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	HSC	Per 100 people with the same characteristics	2022	4.5		
A	Annual	ITC	Nord-ovest	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	HSC	Per 100 people with the same characteristics	2023	3.9		
A	Annual	ITC	Nord-ovest	0_CHRONIC_ALLER	Chronic patients - suffering from allergic diseases	THV	Thousands value	2022	1807		
A	Annual	ITC	Nord-ovest	0_CHRONIC_ALLER	Chronic patients - suffering from allergic diseases	THV	Thousands value	2023	1688		
A	Annual	ITC	Nord-ovest	0_CHRONIC_ALLER	Chronic patients - suffering from allergic diseases	HSC	Per 100 people with the same characteristics	2022	11.5		
A	Annual	ITC	Nord-ovest	0_CHRONIC_ALLER	Chronic patients - suffering from allergic diseases	HSC	Per 100 people with the same characteristics	2023	10.8		
A	Annual	ITC	Nord-ovest	0_CHRONIC_NERVOUS	Chronic patients - suffering from nervous disorders	THV	Thousands value	2022	734		
A	Annual	ITC	Nord-ovest	0_CHRONIC_NERVOUS	Chronic patients - suffering from nervous disorders	THV	Thousands value	2023	651		
A	Annual	ITC	Nord-ovest	0_CHRONIC_NERVOUS	Chronic patients - suffering from nervous disorders	HSC	Per 100 people with the same characteristics	2022	4.7		
A	Annual	ITC	Nord-ovest	0_CHRONIC_NERVOUS	Chronic patients - suffering from nervous disorders	HSC	Per 100 people with the same characteristics	2023	4.1		
A	Annual	ITC	Nord-ovest	0_CHRONIC_GASTR	Chronic patients - suffering from gastric or duodenal ulcer	THV	Thousands value	2022	307		
A	Annual	ITC	Nord-ovest	0_CHRONIC_GASTR	Chronic patients - suffering from gastric or duodenal ulcer	THV	Thousands value	2023	294		
A	Annual	ITC	Nord-ovest	0_CHRONIC_GASTR	Chronic patients - suffering from gastric or duodenal ulcer	HSC	Per 100 people with the same characteristics	2022	2		
A	Annual	ITC	Nord-ovest	0_CHRONIC_GASTR	Chronic patients - suffering from gastric or duodenal ulcer	HSC	Per 100 people with the same characteristics	2023	1.9		
A	Annual	ITC1	Piemonte	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	THV	Thousands value	2022	2930		
A	Annual	ITC1	Piemonte	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	THV	Thousands value	2023	2893		
A	Annual	ITC1	Piemonte	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	HSC	Per 100 people with the same characteristics	2022	69.5		
A	Annual	ITC1	Piemonte	0_GOOD_H	Persons by health conditions and the presence of  chronic diseases: persons  in good health	HSC	Per 100 people with the same characteristics	2023	68.9		
A	Annual	ITC1	Piemonte	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	THV	Thousands value	2022	1754		
A	Annual	ITC1	Piemonte	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	THV	Thousands value	2023	1744		
A	Annual	ITC1	Piemonte	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	HSC	Per 100 people with the same characteristics	2022	41.6		
A	Annual	ITC1	Piemonte	0_ALEAST_1CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least a chronic disease	HSC	Per 100 people with the same characteristics	2023	41.5		
A	Annual	ITC1	Piemonte	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	THV	Thousands value	2022	916		
A	Annual	ITC1	Piemonte	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	THV	Thousands value	2023	856		
A	Annual	ITC1	Piemonte	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	HSC	Per 100 people with the same characteristics	2022	21.7		
A	Annual	ITC1	Piemonte	0_ALEAST_2CRON	Persons by health conditions and the presence of  chronic diseases: persons  at least two chronic disease	HSC	Per 100 people with the same characteristics	2023	20.4		
A	Annual	ITC1	Piemonte	0_CHRONIC_GH	Persons  with chronic diseases in good health	THV	Thousands value	2022	757		
A	Annual	ITC1	Piemonte	0_CHRONIC_GH	Persons  with chronic diseases in good health	THV	Thousands value	2023	795		
A	Annual	ITC1	Piemonte	0_CHRONIC_GH	Persons  with chronic diseases in good health	HSC	Per 100 people with the same characteristics	2022	43.2		
A	Annual	ITC1	Piemonte	0_CHRONIC_GH	Persons  with chronic diseases in good health	HSC	Per 100 people with the same characteristics	2023	45.6		
A	Annual	ITC1	Piemonte	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	THV	Thousands value	2022	297		
A	Annual	ITC1	Piemonte	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	THV	Thousands value	2023	264		
A	Annual	ITC1	Piemonte	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	HSC	Per 100 people with the same characteristics	2022	7.1		
A	Annual	ITC1	Piemonte	0_CHRONIC_DIAB	Chronic patients - suffering from diabetes	HSC	Per 100 people with the same characteristics	2023	6.3		
A	Annual	ITC1	Piemonte	0_CHRONIC_HYP	Chronic patients - with hypertension	THV	Thousands value	2022	742		
A	Annual	ITC1	Piemonte	0_CHRONIC_HYP	Chronic patients - with hypertension	THV	Thousands value	2023	821		
A	Annual	ITC1	Piemonte	0_CHRONIC_HYP	Chronic patients - with hypertension	HSC	Per 100 people with the same characteristics	2022	17.6		
A	Annual	ITC1	Piemonte	0_CHRONIC_HYP	Chronic patients - with hypertension	HSC	Per 100 people with the same characteristics	2023	19.6		
A	Annual	ITC1	Piemonte	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	THV	Thousands value	2022	243		
A	Annual	ITC1	Piemonte	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	THV	Thousands value	2023	251		
A	Annual	ITC1	Piemonte	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	HSC	Per 100 people with the same characteristics	2022	5.8		
A	Annual	ITC1	Piemonte	0_CHRONIC_BRONC	Chronic patients - suffering from chronic bronchitis	HSC	Per 100 people with the same characteristics	2023	6		
A	Annual	ITC1	Piemonte	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	THV	Thousands value	2022	632		
A	Annual	ITC1	Piemonte	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	THV	Thousands value	2023	604		
A	Annual	ITC1	Piemonte	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	HSC	Per 100 people with the same characteristics	2022	15		
A	Annual	ITC1	Piemonte	0_CHRONIC_ARTH	Chronic patients - suffering from osteoarthritis, arthritis	HSC	Per 100 people with the same characteristics	2023	14.4		
A	Annual	ITC1	Piemonte	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	THV	Thousands value	2022	299		
A	Annual	ITC1	Piemonte	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	THV	Thousands value	2023	252		
A	Annual	ITC1	Piemonte	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	HSC	Per 100 people with the same characteristics	2022	7.1		
A	Annual	ITC1	Piemonte	0_CHRONIC_OSTEO	Chronic patients - with osteoporosis	HSC	Per 100 people with the same characteristics	2023	6		
A	Annual	ITC1	Piemonte	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	THV	Thousands value	2022	215		
A	Annual	ITC1	Piemonte	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	THV	Thousands value	2023	160		
A	Annual	ITC1	Piemonte	0_CHRONIC_HEART	Chronic patients - suffering from heart disease	HSC	Per 100 people with the same characteristics	2022	5.1		
